timestamp,latitude,longitude,sector_row,sector_col,ndvi,ndwi,lst,Kc,Ks,Dr,TAW,RAW,ETc,water_need,air_temp,humidity,solar_rad,precip,soil_temp,soil_moisture,methane_flux_kg_hr,field_name
2026-06-01T00:00:00,32.088026,73.590725,0.0,0,0.3,0.144,,0.65,1.0,3.64,140.0,84.0,0.019,0.0,25.8,66.0,0.0,0.0,28.9,0.286,0.01222,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T01:00:00,32.088861,73.590848,8.0,1,0.297,0.143,,0.65,1.0,3.64,140.0,84.0,0.046,0.0,26.2,67.0,33.0,0.0,28.9,0.312,0.01686,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T02:00:00,32.088861,73.590848,8.0,1,0.297,0.143,,0.65,1.0,3.64,140.0,84.0,0.091,0.0,27.7,62.0,156.0,0.0,29.4,0.312,0.01773,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T03:00:00,32.088757,73.59183,7.0,9,0.272,0.131,,0.65,1.0,3.64,140.0,84.0,0.182,0.0,29.8,54.0,329.0,0.0,30.4,0.326,0.02067,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T04:00:00,32.088757,73.591707,7.0,8,0.27,0.13,,0.65,1.0,3.78,140.0,84.0,0.273,0.0,31.7,47.0,507.0,0.0,31.8,0.323,0.02294,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T05:00:00,32.088861,73.590725,8.0,0,0.298,0.143,,0.65,1.0,3.92,140.0,84.0,0.358,0.0,33.2,40.0,659.0,0.0,33.2,0.308,0.02488,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T06:00:00,32.088757,73.59183,7.0,9,0.272,0.131,,0.65,1.0,3.22,140.0,84.0,0.41,0.0,33.6,37.0,763.0,0.0,34.6,0.329,0.03235,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T07:00:00,32.088757,73.591707,7.0,8,0.27,0.13,,0.65,1.0,3.36,140.0,84.0,0.429,0.0,34.4,36.0,795.0,0.0,35.6,0.326,0.03452,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T08:00:00,32.088861,73.590725,8.0,0,0.298,0.143,,0.65,1.0,3.64,140.0,84.0,0.442,0.0,35.1,35.0,836.0,0.0,36.5,0.31,0.03539,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T09:00:00,32.088757,73.59183,7.0,9,0.272,0.131,,0.65,1.0,3.64,140.0,84.0,0.37,0.0,34.9,35.0,682.0,0.2,36.8,0.326,0.03921,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T10:00:00,32.088757,73.591584,7.0,7,0.271,0.13,,0.65,1.0,3.78,140.0,84.0,0.319,0.0,34.8,35.0,574.0,0.1,36.8,0.321,0.03722,Pindi_Bowra_4Acre_Basmati_Plot
2026-06-01T11:00:00,32.088861,73.590725,8.0,0,0.298,0.143,,0.65,1.0,3.92,140.0,84.0,0.273,0.0,34.6,36.0,488.0,0.0,36.6,0.308,0.03495,Pindi_Bowra_4Acre_Basmati_Plot
