timestamp,lat,lon,air_temp_c,humidity_pct,solar_rad_w_m2,soil_temp_c,soil_moisture_pct,ETc_mm_hr,ch4_column_density_ppb
2026-06-01T00:00:00,31.731,74.264,25.6,64,0.0,30.0,24.2,0.04,1979.73
2026-06-01T01:00:00,31.731,74.264,26.0,62,5.0,30.0,24.2,0.07,1965.56
2026-06-01T02:00:00,31.731,74.264,27.8,57,55.0,30.0,24.099999999999998,0.15,1968.04
2026-06-01T03:00:00,31.731,74.264,29.9,50,155.0,30.0,24.099999999999998,0.29,1967.31
2026-06-01T04:00:00,31.731,74.264,31.8,44,295.0,30.0,23.9,0.44,1977.92
2026-06-01T05:00:00,31.731,74.264,33.1,40,424.0,30.0,23.799999999999997,0.56,1966.92
2026-06-01T06:00:00,31.731,74.264,33.7,36,477.0,30.0,24.2,0.6,1971.17
2026-06-01T07:00:00,31.731,74.264,34.6,34,476.0,30.0,24.0,0.63,1968.05
2026-06-01T08:00:00,31.731,74.264,35.2,32,499.0,30.0,23.7,0.65,1969.17
2026-06-01T09:00:00,31.731,74.264,35.4,32,427.0,30.0,23.7,0.6,1966.09
2026-06-01T10:00:00,31.731,74.264,35.0,33,283.0,30.0,23.599999999999998,0.48,1970.97
2026-06-01T11:00:00,31.731,74.264,35.0,33,221.0,30.0,23.5,0.41,1969.16
2026-06-01T12:00:00,31.731,74.264,35.4,31,164.0,30.0,22.3,0.27,1961.0
2026-06-01T13:00:00,31.731,74.264,34.2,51,61.0,30.0,22.2,0.12,1963.52
2026-06-01T14:00:00,31.731,74.264,32.0,45,6.0,30.0,22.2,0.04,1966.06
2026-06-01T15:00:00,31.731,74.264,30.7,50,0.0,30.0,22.2,0.01,1969.01
2026-06-01T16:00:00,31.731,74.264,29.9,52,0.0,30.0,22.2,0.02,1961.51
2026-06-01T17:00:00,31.731,74.264,29.3,54,0.0,30.0,22.2,0.02,1967.79
2026-06-01T18:00:00,31.731,74.264,29.6,56,0.0,30.0,22.3,0.01,1966.99
2026-06-01T19:00:00,31.731,74.264,28.6,59,0.0,30.0,22.3,0.02,1965.33
2026-06-01T20:00:00,31.731,74.264,27.8,61,0.0,30.0,22.3,0.04,1969.45
2026-06-01T21:00:00,31.731,74.264,27.6,60,0.0,30.0,22.2,0.05,1968.82
2026-06-01T22:00:00,31.731,74.264,27.8,56,0.0,30.0,22.2,0.07,1961.59
2026-06-01T23:00:00,31.731,74.264,27.3,56,0.0,30.0,22.2,0.05,1967.71
2026-06-02T00:00:00,31.731,74.264,27.2,60,0.0,30.0,22.5,0.04,1962.14
2026-06-02T01:00:00,31.731,74.264,27.6,61,5.0,30.0,22.5,0.06,1974.57
2026-06-02T02:00:00,31.731,74.264,29.5,54,58.0,30.0,22.400000000000002,0.14,1963.76
2026-06-02T03:00:00,31.731,74.264,31.5,47,169.0,30.0,22.3,0.3,1973.9
2026-06-02T04:00:00,31.731,74.264,33.5,40,310.0,30.0,22.2,0.45,1963.05
2026-06-02T05:00:00,31.731,74.264,35.0,35,438.0,30.0,22.0,0.56,1967.55
2026-06-02T06:00:00,31.731,74.264,35.9,32,535.0,30.0,22.3,0.66,1966.1
2026-06-02T07:00:00,31.731,74.264,36.5,30,586.0,30.0,22.1,0.7,1964.18
2026-06-02T08:00:00,31.731,74.264,36.9,30,547.0,30.0,22.0,0.67,1964.96
2026-06-02T09:00:00,31.731,74.264,36.9,30,456.0,30.0,21.9,0.61,1961.05
2026-06-02T10:00:00,31.731,74.264,36.6,29,310.0,30.0,23.599999999999998,0.5,1960.98
2026-06-02T11:00:00,31.731,74.264,36.4,30,256.0,30.0,23.599999999999998,0.43,1969.96
2026-06-02T12:00:00,31.731,74.264,37.4,26,150.0,30.0,21.099999999999998,0.34,1965.18
2026-06-02T13:00:00,31.731,74.264,35.6,34,54.0,30.0,21.0,0.2,1967.85
2026-06-02T14:00:00,31.731,74.264,33.1,41,6.0,30.0,21.0,0.09,1960.22
2026-06-02T15:00:00,31.731,74.264,32.1,48,0.0,30.0,21.0,0.0,1965.46
2026-06-02T16:00:00,31.731,74.264,30.5,48,0.0,30.0,21.0,0.05,1963.14
