year,month,month_name,latitude,longitude,field_id,regional_methane_ppb,emission_proxy_kg_hr,sar_vh_db,sar_available,num_s5p_orbits,num_s1_passes,confidence_score,methane_band,methane_radius_km,methodology,source
2021,1,January,38.5382,-121.7617,UC_DAVIS_PLOT_1,1878.3,29.13,-20.954,True,434,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,2,February,38.5382,-121.7617,UC_DAVIS_PLOT_1,1873.94,23.99,-18.876,True,394,18,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,3,March,38.5382,-121.7617,UC_DAVIS_PLOT_1,1881.73,29.51,-17.96,True,412,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,4,April,38.5382,-121.7617,UC_DAVIS_PLOT_1,1884.58,29.65,-18.495,True,424,18,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,5,May,38.5382,-121.7617,UC_DAVIS_PLOT_1,1883.38,29.53,-19.28,True,438,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,6,June,38.5382,-121.7617,UC_DAVIS_PLOT_1,1869.92,23.74,-18.972,True,425,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,7,July,38.5382,-121.7617,UC_DAVIS_PLOT_1,1868.32,23.64,-18.99,True,388,16,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,8,August,38.5382,-121.7617,UC_DAVIS_PLOT_1,1885.37,29.67,-19.015,True,407,19,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,9,September,38.5382,-121.7617,UC_DAVIS_PLOT_1,1896.16,30.31,-19.134,True,426,18,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,10,October,38.5382,-121.7617,UC_DAVIS_PLOT_1,1910.32,31.16,-19.067,True,433,19,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,11,November,38.5382,-121.7617,UC_DAVIS_PLOT_1,1911.04,31.2,-19.186,True,426,19,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2021,12,December,38.5382,-121.7617,UC_DAVIS_PLOT_1,1905.76,30.92,-18.614,True,437,16,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
