year,month,month_name,status,reason,num_orbits,methane_ppb,confidence
2021,1,January,SUCCESS,"434 orbits composited, 17 SAR passes, conf=1.0",434,1878.3,1.0
2021,2,February,SUCCESS,"394 orbits composited, 18 SAR passes, conf=1.0",394,1873.94,1.0
2021,3,March,SUCCESS,"412 orbits composited, 17 SAR passes, conf=1.0",412,1881.73,1.0
2021,4,April,SUCCESS,"424 orbits composited, 18 SAR passes, conf=1.0",424,1884.58,1.0
2021,5,May,SUCCESS,"438 orbits composited, 17 SAR passes, conf=1.0",438,1883.38,1.0
2021,6,June,SUCCESS,"425 orbits composited, 17 SAR passes, conf=1.0",425,1869.92,1.0
2021,7,July,SUCCESS,"388 orbits composited, 16 SAR passes, conf=1.0",388,1868.32,1.0
2021,8,August,SUCCESS,"407 orbits composited, 19 SAR passes, conf=1.0",407,1885.37,1.0
2021,9,September,SUCCESS,"426 orbits composited, 18 SAR passes, conf=1.0",426,1896.16,1.0
2021,10,October,SUCCESS,"433 orbits composited, 19 SAR passes, conf=1.0",433,1910.32,1.0
2021,11,November,SUCCESS,"426 orbits composited, 19 SAR passes, conf=1.0",426,1911.04,1.0
