year,month,month_name,status,reason,num_orbits,methane_ppb,confidence
2022,1,January,SUCCESS,"431 orbits composited, 10 SAR passes, conf=1.0",431,1912.5,1.0
2022,2,February,SUCCESS,"393 orbits composited, 10 SAR passes, conf=1.0",393,1902.6,1.0
2022,3,March,SUCCESS,"437 orbits composited, 10 SAR passes, conf=1.0",437,1886.75,1.0
2022,4,April,SUCCESS,"424 orbits composited, 10 SAR passes, conf=1.0",424,1889.83,1.0
2022,5,May,SUCCESS,"440 orbits composited, 9 SAR passes, conf=1.0",440,1881.46,1.0
2022,6,June,SUCCESS,"417 orbits composited, 10 SAR passes, conf=1.0",417,1885.75,1.0
2022,7,July,SUCCESS,"364 orbits composited, 9 SAR passes, conf=1.0",364,1879.74,1.0
2022,8,August,SUCCESS,"34 orbits composited, 10 SAR passes, conf=0.8",34,1885.44,0.8
2022,9,September,SUCCESS,"426 orbits composited, 10 SAR passes, conf=1.0",426,1901.14,1.0
2022,10,October,SUCCESS,"439 orbits composited, 10 SAR passes, conf=1.0",439,1909.56,1.0
2022,11,November,SUCCESS,"423 orbits composited, 9 SAR passes, conf=1.0",423,1916.32,1.0
