year,month,month_name,latitude,longitude,field_id,regional_methane_ppb,emission_proxy_kg_hr,sar_vh_db,sar_available,num_s5p_orbits,num_s1_passes,confidence_score,methane_band,methane_radius_km,methodology,source
2020,1,January,38.5382,-121.7617,UC_DAVIS_PLOT_1,1878.11,24.77,-22.908,True,312,13,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,2,February,38.5382,-121.7617,UC_DAVIS_PLOT_1,1866.99,23.1,-22.698,True,406,15,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,3,March,38.5382,-121.7617,UC_DAVIS_PLOT_1,1866.38,23.02,-22.245,True,400,16,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,4,April,38.5382,-121.7617,UC_DAVIS_PLOT_1,1869.44,23.5,-21.823,True,406,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,5,May,38.5382,-121.7617,UC_DAVIS_PLOT_1,1869.77,23.52,-22.679,True,403,18,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,6,June,38.5382,-121.7617,UC_DAVIS_PLOT_1,1860.23,22.1,-22.082,True,395,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,7,July,38.5382,-121.7617,UC_DAVIS_PLOT_1,1855.76,21.47,-20.933,True,439,18,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,8,August,38.5382,-121.7617,UC_DAVIS_PLOT_1,1879.29,24.98,-22.058,True,430,20,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,9,September,38.5382,-121.7617,UC_DAVIS_PLOT_1,1892.3,26.92,-22.71,True,422,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,10,October,38.5382,-121.7617,UC_DAVIS_PLOT_1,1885.23,25.86,-22.267,True,419,19,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,11,November,38.5382,-121.7617,UC_DAVIS_PLOT_1,1894.47,27.27,-21.863,True,424,17,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2020,12,December,38.5382,-121.7617,UC_DAVIS_PLOT_1,1894.9,27.36,-21.134,True,411,18,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
