year,month,month_name,status,reason,num_orbits,methane_ppb,confidence
2019,1,January,SUCCESS,"438 orbits composited, 14 SAR passes, conf=1.0",438,1868.45,1.0
2019,2,February,SUCCESS,"393 orbits composited, 11 SAR passes, conf=1.0",393,1864.69,1.0
2019,3,March,SUCCESS,"439 orbits composited, 15 SAR passes, conf=1.0",439,1862.86,1.0
2019,4,April,SUCCESS,"413 orbits composited, 15 SAR passes, conf=1.0",413,1838.08,1.0
2019,5,May,SUCCESS,"440 orbits composited, 14 SAR passes, conf=1.0",440,1856.11,1.0
2019,6,June,REJECTED_QA_MASK,All 425 orbits masked by cloud/aerosol QA filter,425,,0.0
2019,7,July,REJECTED_QA_MASK,All 437 orbits masked by cloud/aerosol QA filter,437,,0.0
2019,8,August,REJECTED_QA_MASK,All 439 orbits masked by cloud/aerosol QA filter,439,,0.0
2019,9,September,REJECTED_QA_MASK,All 425 orbits masked by cloud/aerosol QA filter,425,,0.0
2019,10,October,REJECTED_QA_MASK,All 422 orbits masked by cloud/aerosol QA filter,422,,0.0
2019,11,November,SUCCESS,"423 orbits composited, 17 SAR passes, conf=1.0",423,1892.56,1.0
