timestamp,site_id,site_name,country,crop_type,latitude,longitude,sector_row,sector_col,ndvi,ndwi,Kc,Ks,Dr,TAW,RAW,ETc,water_need,air_temp,humidity,solar_rad,precip,soil_temp,soil_moisture,vpd_kpa,methane_flux_kg_hr,field_name
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.590725,0,0,0.79,0.356,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.338,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.590848,0,1,0.788,0.355,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.342,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.59097,0,2,0.784,0.353,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.346,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.591093,0,3,0.776,0.349,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.35,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.591216,0,4,0.767,0.345,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.354,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.591339,0,5,0.757,0.341,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.358,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.591461,0,6,0.748,0.337,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.362,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.591584,0,7,0.739,0.333,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.366,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.591707,0,8,0.733,0.33,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.37,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
2026-08-01 00:00:00,pk_hafizabad_pindi_bowra,NRSP-UAF Basmati Rice Trial Parcel (Pindi Bowra),Pakistan,Super Basmati Rice (Paddy),32.088026,73.59183,0,9,0.73,0.329,1.12,1.0,0.0,140.0,84.0,0.0,0.0,27.5,90,0.0,0.1,28.5,0.374,0.367,0.0488,Pindi_Bowra_4Acre_Basmati_Plot
