timestamp,latitude,longitude,sector_row,sector_col,ndvi,ndwi,ndwi_real,savi,lai,fcover,lst,lst_modis,Kc,Ks,Dr,TAW,RAW,ETc,water_need,air_temp,humidity,solar_rad,precip,soil_temp,soil_moisture,et0_deficit_7d,scene_id,field_name
2026-07-11 7:00:00,38.5448,-121.872,0,0,0.08,-0.386,-0.254,0.096,0.0973,0.0475,23.3,30.1,0.17,0.69,50.63,72,36,0.9,50.63,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,0,1,0.0929,-0.386,-0.2655,0.1115,0.0973,0.0475,23.2,30.1,0.17,0.67,51.29,72,36,0.87,51.29,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,0,2,0.3939,-0.386,-0.4444,0.4727,0.7576,0.3153,21.7,30.1,0.61,0.31,61.6,72,36,1.44,61.6,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,0,3,0.3555,-0.386,-0.4062,0.4266,0.6236,0.2679,21.9,30.1,0.5,0.39,59.4,72,36,1.49,59.4,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,0,4,0.338,-0.386,-0.3894,0.4056,0.5676,0.2471,22.0,30.1,0.46,0.42,58.43,72,36,1.48,58.43,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,0,5,0.08,-0.386,-0.1905,0.096,0.0973,0.0475,23.3,30.1,0.17,0.82,46.97,72,36,1.07,46.97,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,0,6,0.4102,-0.386,-0.4738,0.4922,0.8198,0.3363,21.6,30.1,0.65,0.25,63.29,72,36,1.24,63.29,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,0,7,0.4125,-0.386,-0.4924,0.495,0.8289,0.3393,21.6,30.1,0.66,0.22,64.36,72,36,1.11,64.36,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,1,0,0.0803,-0.386,-0.2372,0.0964,0.0973,0.0475,23.3,30.1,0.17,0.73,49.66,72,36,0.95,49.66,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
2026-07-11 7:00:00,38.5448,-121.872,1,1,0.08,-0.386,-0.1013,0.096,0.0973,0.0475,23.3,30.1,0.17,1.0,41.83,72,36,1.3,41.83,18.7,50,0,0,18.7,0.057,53.7,S2B_MSIL2A_20260707T184919_R113_T10SEH_20260707T224253,Field-A (Corn)
