id,timestamp,latitude,longitude,sector_row,sector_col,ndvi,ndwi,savi,lst,Kc,Ks,Dr,TAW,RAW,ETc,water_need,air_temp,humidity,solar_rad,precip,soil_temp,soil_moisture,ndwi_real,lai,fcover,lst_modis,et0_deficit_7d,scene_id,field_name,lst_source,methane_anomaly,sar_rvi,gravity_anomaly
1,2026-07-15 14:00:00,38.551,-121.8755,0,0,0.0877,-0.1686,0.0722,36.9,0.55,0.73,0.0,72.0,36.0,3.28,45.71,22.5,44.0,205.0,0.0,22.5,0.051,-0.1686,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
2,2026-07-15 14:00:00,38.551,-121.8755,0,1,0.1242,-0.197,0.102,36.9,0.55,0.68,0.0,72.0,36.0,3.05,47.35,22.5,44.0,205.0,0.0,22.5,0.051,-0.197,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
3,2026-07-15 14:00:00,38.551,-121.8755,0,2,0.6344,-0.5,0.5378,36.9,0.63,0.2,0.0,72.0,36.0,1.03,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,2.5955,0.7269,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
4,2026-07-15 14:00:00,38.551,-121.8755,0,3,0.5786,-0.5,0.4886,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.8319,0.5999,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
5,2026-07-15 14:00:00,38.551,-121.8755,0,4,0.5799,-0.5,0.4903,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.8448,0.6024,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
6,2026-07-15 14:00:00,38.551,-121.8755,0,5,0.5799,-0.5,0.4903,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.8448,0.6024,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
7,2026-07-15 14:00:00,38.551,-121.8755,0,6,0.5743,-0.5,0.4827,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.7902,0.5914,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
8,2026-07-15 14:00:00,38.551,-121.8755,0,7,0.5556,-0.5,0.4652,36.9,0.62,0.2,0.0,72.0,36.0,1.01,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.6256,0.5564,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
9,2026-07-15 14:00:00,38.551,-121.8755,1,0,0.08,-0.1619,0.063,36.9,0.55,0.74,0.0,72.0,36.0,3.32,45.33,22.5,44.0,205.0,0.0,22.5,0.051,-0.1619,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
10,2026-07-15 14:00:00,38.551,-121.8755,1,1,0.1437,-0.2121,0.1167,36.9,0.55,0.66,0.0,72.0,36.0,2.96,48.22,22.5,44.0,205.0,0.0,22.5,0.051,-0.2121,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
11,2026-07-15 14:00:00,38.551,-121.8755,1,2,0.6257,-0.5,0.5293,36.9,0.62,0.2,0.0,72.0,36.0,1.01,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,2.4358,0.7041,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
12,2026-07-15 14:00:00,38.551,-121.8755,1,3,0.5767,-0.5,0.487,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.8133,0.5961,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
13,2026-07-15 14:00:00,38.551,-121.8755,1,4,0.5799,-0.5,0.4902,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.8448,0.6024,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
14,2026-07-15 14:00:00,38.551,-121.8755,1,5,0.5799,-0.5,0.4902,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.8448,0.6024,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
15,2026-07-15 14:00:00,38.551,-121.8755,1,6,0.5714,-0.5,0.4819,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.763,0.5858,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
16,2026-07-15 14:00:00,38.551,-121.8755,1,7,0.6261,-0.5,0.5279,36.9,0.62,0.2,0.0,72.0,36.0,1.01,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,2.4426,0.7052,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
17,2026-07-15 14:00:00,38.551,-121.8755,2,0,0.084,-0.1647,0.0685,36.9,0.55,0.74,0.0,72.0,36.0,3.32,45.49,22.5,44.0,205.0,0.0,22.5,0.051,-0.1647,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
18,2026-07-15 14:00:00,38.551,-121.8755,2,1,0.094,-0.1744,0.0768,36.9,0.55,0.72,0.0,72.0,36.0,3.23,46.05,22.5,44.0,205.0,0.0,22.5,0.051,-0.1744,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
19,2026-07-15 14:00:00,38.551,-121.8755,2,2,0.6256,-0.5,0.5296,36.9,0.62,0.2,0.0,72.0,36.0,1.01,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,2.4341,0.7039,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
20,2026-07-15 14:00:00,38.551,-121.8755,2,3,0.573,-0.5,0.4845,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.778,0.5889,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
21,2026-07-15 14:00:00,38.551,-121.8755,2,4,0.6263,-0.5,0.5337,36.9,0.62,0.2,0.0,72.0,36.0,1.01,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,2.4461,0.7057,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
22,2026-07-15 14:00:00,38.551,-121.8755,2,5,0.6263,-0.5,0.5337,36.9,0.62,0.2,0.0,72.0,36.0,1.01,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,2.4461,0.7057,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
23,2026-07-15 14:00:00,38.551,-121.8755,2,6,0.5704,-0.5,0.4762,36.9,0.61,0.2,0.0,72.0,36.0,1.0,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.7538,0.5839,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
24,2026-07-15 14:00:00,38.551,-121.8755,2,7,0.3033,-0.3378,0.2483,36.9,0.67,0.46,0.0,72.0,36.0,2.51,55.46,22.5,44.0,205.0,0.0,22.5,0.051,-0.3378,0.4643,0.2072,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
25,2026-07-15 14:00:00,38.551,-121.8755,3,0,0.0833,-0.1667,0.0684,36.9,0.55,0.73,0.0,72.0,36.0,3.28,45.6,22.5,44.0,205.0,0.0,22.5,0.051,-0.1667,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
26,2026-07-15 14:00:00,38.551,-121.8755,3,1,0.0938,-0.171,0.0763,36.9,0.55,0.73,0.0,72.0,36.0,3.28,45.85,22.5,44.0,205.0,0.0,22.5,0.051,-0.171,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
27,2026-07-15 14:00:00,38.551,-121.8755,3,2,0.6361,-0.5,0.5372,36.9,0.63,0.2,0.0,72.0,36.0,1.03,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,2.6297,0.7315,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
28,2026-07-15 14:00:00,38.551,-121.8755,3,3,0.5146,-0.5,0.4295,36.9,0.59,0.2,0.0,72.0,36.0,0.96,64.8,22.5,44.0,205.0,0.0,22.5,0.051,-0.5,1.333,0.4865,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
29,2026-07-15 14:00:00,38.551,-121.8755,3,4,0.1981,-0.2533,0.1595,36.9,0.55,0.59,0.0,72.0,36.0,2.65,50.59,22.5,44.0,205.0,0.0,22.5,0.051,-0.2533,0.1998,0.0951,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
30,2026-07-15 14:00:00,38.551,-121.8755,3,5,0.1981,-0.2533,0.1595,36.9,0.55,0.59,0.0,72.0,36.0,2.65,50.59,22.5,44.0,205.0,0.0,22.5,0.051,-0.2533,0.1998,0.0951,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
31,2026-07-15 14:00:00,38.551,-121.8755,3,6,0.1097,-0.2001,0.0905,36.9,0.55,0.68,0.0,72.0,36.0,3.05,47.53,22.5,44.0,205.0,0.0,22.5,0.051,-0.2001,0.0973,0.0475,36.9,53.5,S2A_MSIL2A_20260714T185831_R113_T10SEH_20260715T024413,Field-A (Corn),,,,
