year,month,month_name,latitude,longitude,field_id,regional_methane_ppb,emission_proxy_kg_hr,sar_vh_db,sar_available,num_s5p_orbits,num_s1_passes,confidence_score,methane_band,methane_radius_km,methodology,source
2024,1,January,38.5382,-121.7617,UC_DAVIS_PLOT_1,1911.1,31.66,-17.542,True,434,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,2,February,38.5382,-121.7617,UC_DAVIS_PLOT_1,1907.06,30.83,-16.943,True,411,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,3,March,38.5382,-121.7617,UC_DAVIS_PLOT_1,1905.29,30.48,-17.52,True,428,11,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,4,April,38.5382,-121.7617,UC_DAVIS_PLOT_1,1908.6,31.15,-17.971,True,425,11,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,5,May,38.5382,-121.7617,UC_DAVIS_PLOT_1,1908.61,31.16,-18.865,True,440,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,6,June,38.5382,-121.7617,UC_DAVIS_PLOT_1,1906.83,30.79,-17.655,True,426,8,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,7,July,38.5382,-121.7617,UC_DAVIS_PLOT_1,1898.15,29.02,-17.558,True,438,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,8,August,38.5382,-121.7617,UC_DAVIS_PLOT_1,1917.04,32.87,-18.19,True,436,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,9,September,38.5382,-121.7617,UC_DAVIS_PLOT_1,1920.39,33.55,-18.31,True,424,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,10,October,38.5382,-121.7617,UC_DAVIS_PLOT_1,1929.53,35.42,-18.295,True,440,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,11,November,38.5382,-121.7617,UC_DAVIS_PLOT_1,1936.79,36.9,-19.187,True,426,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2024,12,December,38.5382,-121.7617,UC_DAVIS_PLOT_1,1931.23,35.76,-18.467,True,437,11,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
