year,month,month_name,latitude,longitude,field_id,regional_methane_ppb,emission_proxy_kg_hr,sar_vh_db,sar_available,num_s5p_orbits,num_s1_passes,confidence_score,methane_band,methane_radius_km,methodology,source
2023,1,January,38.5382,-121.7617,UC_DAVIS_PLOT_1,1906.37,30.79,-17.896,True,440,11,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,2,February,38.5382,-121.7617,UC_DAVIS_PLOT_1,1909.48,31.42,-17.794,True,396,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,3,March,38.5382,-121.7617,UC_DAVIS_PLOT_1,1894.4,28.41,-17.887,True,440,11,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,4,April,38.5382,-121.7617,UC_DAVIS_PLOT_1,1898.64,29.28,-17.452,True,415,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,5,May,38.5382,-121.7617,UC_DAVIS_PLOT_1,1895.15,28.52,-18.389,True,438,11,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,6,June,38.5382,-121.7617,UC_DAVIS_PLOT_1,1895.26,28.53,-18.59,True,424,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,7,July,38.5382,-121.7617,UC_DAVIS_PLOT_1,1893.8,28.23,-18.668,True,362,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,8,August,38.5382,-121.7617,UC_DAVIS_PLOT_1,1905.23,30.5,-18.867,True,123,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,9,September,38.5382,-121.7617,UC_DAVIS_PLOT_1,1918.07,33.05,-18.874,True,425,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,10,October,38.5382,-121.7617,UC_DAVIS_PLOT_1,1918.86,33.25,-18.258,True,440,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,11,November,38.5382,-121.7617,UC_DAVIS_PLOT_1,1930.62,35.6,-18.232,True,287,9,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
2023,12,December,38.5382,-121.7617,UC_DAVIS_PLOT_1,1917.14,32.96,-17.584,True,436,10,1.0,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,25.0,monthly_composite_gold_standard,Sentinel-5P + Sentinel-1 via Google Earth Engine
